Name,Age,Department,Salary,Years_Experience,Promotion_Eligibility
George Weber,40.0,Sales,66400.0,7.0,Yes
Susan Harper,35.0,IT,66600.0,4.0,No
Lori Flowers MD,37.0,Finance,68400.0,7.0,Yes
Kyle Garza,28.0,Marketing,47700.0,3.0,No
Nicholas Little,36.0,HR,54400.0,6.0,No
Donald Cruz,35.0,HR,50700.0,5.0,No
Patricia Acosta,38.0,Sales,75800.0,10.0,Yes
Melissa Mccormick,27.0,Engineering,89200.0,,No
Susan Turner,36.0,Sales,65400.0,6.0,Yes
Darlene Kelly,30.0,,70300.0,6.0,Yes
Anthony May,26.0,Marketing,60100.0,4.0,Yes
Jeffrey Torres,35.0,Finance,81300.0,9.0,Yes
Jamie Miller,22.0,Marketing,42400.0,1.0,No
Daniel Price,27.0,IT,71400.0,4.0,No
Raymond Le,42.0,IT,,6.0,Yes
Kathleen Roy,45.0,Customer Support,60400.0,16.0,Yes
Kathryn Dillon,32.0,HR,42500.0,5.0,No
Micheal Austin,21.0,IT,67300.0,0.0,No
Jose Martinez,54.0,Marketing,88400.0,22.0,Yes
Jordan Curry,37.0,Engineering,83200.0,12.0,Yes
Mark Thomas,40.0,IT,85800.0,12.0,Yes
Jeffrey Vaughn,46.0,Customer Support,69800.0,17.0,Yes
Sean Curtis,35.0,Operations,83900.0,12.0,Yes
Laurie Bailey,45.0,IT,89600.0,12.0,Yes
Christine Jones,32.0,Engineering,,6.0,Yes
Amber Spencer,21.0,Marketing,42400.0,0.0,No
Samantha Cohen,37.0,Engineering,93500.0,11.0,
Kathryn Jennings,40.0,Finance,78600.0,9.0,Yes
Calvin Bowers,,Marketing,70400.0,12.0,Yes
Christopher Thompson,31.0,Customer Support,56300.0,8.0,Yes
Jennifer Banks,43.0,Marketing,78500.0,17.0,Yes
Dean Turner,39.0,Marketing,62300.0,8.0,Yes
Alexis Pham,36.0,Operations,65300.0,12.0,Yes
Nicole Parrish,39.0,Finance,80600.0,9.0,Yes
Jennifer Leon,42.0,,77300.0,15.0,Yes
Kelli Smith,40.0,Engineering,87900.0,10.0,Yes
Jeremy Reed,30.0,Operations,62300.0,3.0,No
Andrea Baker,21.0,IT,64000.0,0.0,Yes
Jessica Barnett,42.0,Sales,71500.0,14.0,Yes
Christina Walters,32.0,Sales,60300.0,5.0,Yes
Joseph Heath,45.0,Marketing,84000.0,18.0,Yes
Scott James,36.0,Finance,75800.0,11.0,Yes
Jonathan Stanley,28.0,Engineering,,3.0,No
Dennis Santana,38.0,Sales,55100.0,5.0,Yes
John Clark,26.0,HR,46000.0,2.0,Yes
Edwin Munoz,39.0,Marketing,69200.0,6.0,Yes
Sharon Santos,44.0,IT,105700.0,19.0,Yes
Billy Wallace,32.0,IT,80000.0,8.0,No
Nichole Davis,35.0,Marketing,59400.0,6.0,Yes
Brian Shaffer,36.0,IT,89900.0,12.0,Yes
Michelle Mcdonald,37.0,Finance,78100.0,10.0,Yes
Bonnie Valencia,21.0,IT,,0.0,No
Matthew Thomas,32.0,Operations,46500.0,5.0,No
Nicholas Beard,48.0,Operations,71700.0,11.0,Yes
Amy Ramirez,37.0,IT,78800.0,6.0,Yes
Cheryl Atkins,30.0,Sales,55600.0,4.0,No
Gabriel Wilkins,32.0,Marketing,75100.0,6.0,No
Dr. Isabel Smith PhD,47.0,Engineering,116000.0,21.0,Yes
Susan Davis,38.0,Operations,70300.0,7.0,Yes
Jennifer Smith,39.0,HR,69000.0,6.0,No
Matthew Moore,31.0,HR,54400.0,5.0,Yes
Jonathan Walker,26.0,Engineering,74500.0,3.0,No
Jordan Pace,43.0,Marketing,79100.0,18.0,Yes
Jennifer Brown,47.0,Sales,85500.0,13.0,Yes
Ralph Anderson,50.0,,84300.0,20.0,Yes
Travis Dixon,,Finance,63800.0,4.0,No
Amy Mccullough,35.0,IT,75400.0,7.0,Yes
Andre Watson,35.0,Marketing,82200.0,12.0,Yes
Kathy Adams,42.0,Finance,62800.0,9.0,Yes
Michael Gibson,38.0,Operations,69000.0,14.0,Yes
Chase Choi,28.0,HR,62000.0,5.0,Yes
Hannah Johnson,33.0,Engineering,74500.0,5.0,Yes
Jason Nixon,29.0,Engineering,85900.0,5.0,No
Jonathan Swanson,30.0,,80000.0,5.0,Yes
Juan Lopez,29.0,HR,54200.0,5.0,Yes
Charles Frost,29.0,Marketing,51400.0,3.0,No
Jennifer Lopez,26.0,Marketing,48400.0,3.0,No
Heidi Burnett,24.0,IT,76700.0,2.0,No
Lynn Mueller,37.0,IT,79500.0,7.0,Yes
Leah Rodriguez,37.0,Sales,80300.0,13.0,Yes
Veronica Berry,39.0,Sales,70800.0,7.0,No
Gerald Price,50.0,Engineering,89800.0,13.0,Yes
Angela Trevino,33.0,HR,60000.0,9.0,Yes
Jose Allen,34.0,Sales,61300.0,6.0,Yes
Lisa Randall,21.0,Operations,55100.0,0.0,No
Robert Mitchell,,Customer Support,70700.0,16.0,Yes
Anthony French,33.0,Sales,67700.0,6.0,Yes
Dylan Foster,,Marketing,83500.0,17.0,Yes
Linda Morris,44.0,Operations,84700.0,17.0,Yes
Lori Alvarez,40.0,Finance,89600.0,12.0,Yes
Melissa Barron,39.0,Finance,72900.0,9.0,Yes
Sarah Bates,27.0,HR,53200.0,4.0,No
Matthew Wright,36.0,HR,61100.0,10.0,Yes
Natalie Malone,49.0,Marketing,69000.0,14.0,Yes
Antonio Lopez,33.0,Operations,56100.0,6.0,Yes
Bailey Hughes,28.0,Engineering,89200.0,5.0,Yes
Kaitlin Hardin,29.0,IT,75400.0,6.0,Yes
Megan Le,42.0,Engineering,110100.0,18.0,Yes
Jesse Johnson,32.0,IT,66500.0,7.0,No
Melanie Watson,42.0,Marketing,76100.0,11.0,Yes
Katherine Brown,27.0,Engineering,72200.0,5.0,No
Michael Guerra,39.0,Engineering,89200.0,8.0,Yes
Zachary Jones,40.0,Customer Support,58000.0,9.0,Yes
Samuel Wong,,Engineering,108500.0,15.0,Yes
James Collins,24.0,IT,58700.0,2.0,No
Heather Hunt,27.0,Engineering,70700.0,,No
Stephen Taylor,29.0,Sales,59400.0,4.0,Yes
Corey Norris,50.0,Finance,99300.0,23.0,Yes
Paul Blair,21.0,HR,45800.0,0.0,No
Melissa Mathews,44.0,Operations,74900.0,15.0,Yes
Roy Paul,27.0,Operations,42500.0,4.0,No
Victor Leonard,31.0,Sales,58200.0,5.0,Yes
Angel Perry,24.0,Sales,48000.0,2.0,No
Mark Dalton,28.0,Operations,41300.0,3.0,No
Scott Thomas,39.0,Sales,63400.0,11.0,Yes
Mark Smith,22.0,IT,63000.0,1.0,No
April Clark,51.0,Finance,,,Yes
Rachel Berger,35.0,IT,88400.0,11.0,Yes
Matthew Miller,44.0,Sales,85100.0,18.0,Yes
Ryan Kaiser,50.0,Finance,96600.0,23.0,Yes
Whitney Jones,39.0,Finance,72900.0,14.0,Yes
Richard Goodman,21.0,Engineering,75800.0,0.0,No
Bryan Davis DVM,29.0,Finance,69400.0,5.0,No
Lauren Freeman,47.0,Finance,84800.0,14.0,Yes
Sean Clay,50.0,HR,75100.0,20.0,Yes
Tyler Salazar,32.0,Operations,64700.0,6.0,Yes
Janice Bailey,21.0,Marketing,50900.0,0.0,No
Valerie Roberts,47.0,Sales,64600.0,12.0,Yes
Roy King,31.0,IT,67500.0,3.0,No
Edgar Hughes,21.0,Finance,47300.0,0.0,No
Alyssa Haynes,48.0,Finance,75600.0,11.0,Yes
Andrew Gonzalez,38.0,Engineering,73400.0,9.0,Yes
Jonathan Lawrence,45.0,IT,104800.0,20.0,Yes
Beth Price,49.0,Marketing,78100.0,16.0,Yes
James Cuevas,38.0,IT,76100.0,,Yes
Marcus Powell,50.0,HR,80500.0,19.0,Yes
Jill Martin,21.0,Engineering,76200.0,0.0,No
Dwayne Klein,31.0,Finance,73000.0,3.0,No
Kathryn White,34.0,Finance,65600.0,5.0,Yes
Ryan Taylor,60.0,IT,120300.0,24.0,Yes
Matthew Armstrong,43.0,IT,82700.0,8.0,Yes
Joshua Martinez,44.0,IT,101400.0,19.0,Yes
Kristen Jackson,30.0,HR,60800.0,5.0,Yes
Debra Johnson,35.0,Engineering,80900.0,6.0,No
Christopher Mayer,25.0,Finance,57200.0,2.0,No
Jorge Davis,52.0,Customer Support,69900.0,20.0,Yes
Blake Crawford,33.0,Sales,63000.0,5.0,No
Debra Valentine,34.0,Engineering,84200.0,4.0,No
Heather Williams,35.0,Marketing,64400.0,11.0,Yes
Roger Moss,38.0,Engineering,90400.0,10.0,Yes
Timothy Wilkinson,38.0,HR,69800.0,14.0,Yes
Daniel Stout,24.0,Engineering,,2.0,No
James Silva,51.0,Sales,63300.0,11.0,Yes
Jill Conway,27.0,Engineering,76700.0,3.0,No
Benjamin Mclaughlin,21.0,Engineering,76600.0,0.0,No
Joseph Church,35.0,Marketing,68600.0,5.0,Yes
Cassandra Mitchell,40.0,Marketing,65300.0,15.0,Yes
Hannah Luna,46.0,Sales,69000.0,18.0,Yes
Patrick Yang,51.0,Engineering,103300.0,14.0,Yes
Michael Gonzalez,26.0,HR,51800.0,2.0,Yes
Travis Hull,44.0,IT,90500.0,16.0,Yes
Kevin Barber,24.0,Marketing,,2.0,No
Sherri Charles,29.0,Engineering,92800.0,7.0,Yes
John Ramirez,21.0,Finance,53800.0,0.0,No
Michael Brooks,38.0,HR,53000.0,5.0,Yes
James Austin,28.0,Marketing,54500.0,5.0,Yes
Brenda Lee,41.0,Sales,60000.0,7.0,No
Jared Garza,37.0,Sales,62600.0,8.0,Yes
Ashley Valentine,24.0,Finance,63200.0,2.0,No
Maria Jones,51.0,Customer Support,60700.0,20.0,Yes
Cory Parsons,28.0,Marketing,49700.0,2.0,No
Keith Garcia,51.0,Sales,97600.0,24.0,Yes
Darryl Acosta,21.0,Engineering,73800.0,0.0,No
Donna Ibarra,38.0,IT,87500.0,13.0,Yes
Tracey Bailey,49.0,HR,70600.0,12.0,Yes
Albert Garcia,32.0,Engineering,79600.0,4.0,Yes
Samantha Thomas,37.0,IT,73500.0,11.0,Yes
Kenneth Knight,32.0,IT,74400.0,6.0,No
Johnny Whitaker,36.0,Marketing,72100.0,11.0,Yes
Tanner Decker,33.0,Finance,66600.0,4.0,No
Jordan Garcia,38.0,Customer Support,67100.0,9.0,Yes
John Hudson,29.0,Marketing,65800.0,5.0,Yes
Erin Diaz,21.0,Engineering,71200.0,0.0,No
Charles Hernandez,37.0,Customer Support,48000.0,8.0,Yes
Charles Davila,37.0,Operations,57400.0,10.0,Yes
Melissa Grant,33.0,Sales,60700.0,9.0,Yes
Vickie Kennedy,50.0,Engineering,93300.0,11.0,Yes
Kristen Montoya,41.0,Finance,80700.0,7.0,No
Amber Vang,26.0,Engineering,75600.0,4.0,Yes
Jay Hall,37.0,Marketing,71400.0,12.0,Yes
Michael Nixon,35.0,Engineering,89700.0,8.0,Yes
Ashley Hicks,34.0,Marketing,64100.0,6.0,No
Crystal Beltran,41.0,Finance,82800.0,,Yes
Michael Perry PhD,41.0,IT,81500.0,16.0,Yes
Danny Moreno,32.0,Engineering,97200.0,9.0,Yes
Nicholas Hernandez,32.0,Engineering,88700.0,8.0,Yes
Brent Harris,26.0,IT,73800.0,3.0,Yes
Christina Reese,31.0,Operations,55300.0,4.0,Yes
Alyssa Orr,53.0,IT,108200.0,21.0,Yes
Melissa Mann,36.0,Operations,64500.0,7.0,Yes
Amber Kidd,47.0,IT,95200.0,12.0,Yes
Caitlin Harris,25.0,IT,67200.0,2.0,No
Jose Harrison,40.0,Finance,83700.0,14.0,Yes
Melinda Patterson,35.0,IT,79300.0,10.0,Yes
Elizabeth Melton,32.0,HR,59700.0,6.0,Yes
Jesse Castro,44.0,Operations,78100.0,11.0,Yes
Tyler Richard,21.0,HR,43700.0,0.0,No
Elizabeth Nichols,29.0,Finance,73800.0,4.0,No
Joseph Shaw,21.0,IT,73000.0,0.0,No
Laurie Bailey,25.0,HR,56900.0,3.0,Yes
Jessica Hoffman,25.0,Marketing,50600.0,1.0,No
Lisa Price,36.0,Engineering,106000.0,12.0,Yes
Linda Miller,50.0,IT,94700.0,17.0,Yes
Jesus Wheeler,,Engineering,85800.0,11.0,Yes
Katherine Contreras,35.0,Sales,61900.0,6.0,Yes
Colin Mckay,30.0,Finance,60700.0,4.0,No
Dr. Julie Miller,36.0,IT,89500.0,11.0,Yes
Jordan Bates,36.0,Engineering,68600.0,8.0,Yes
Arthur Gonzalez,35.0,IT,81100.0,11.0,Yes
Kimberly Ross,41.0,Customer Support,54200.0,12.0,Yes
Kimberly Sharp,,IT,84700.0,8.0,Yes
Katherine White,48.0,Marketing,83500.0,17.0,Yes
Deanna Mcdonald,25.0,IT,74500.0,2.0,No
Gregory Rivers,30.0,Engineering,80200.0,6.0,No
Miranda Beck,29.0,IT,81400.0,6.0,Yes
Annette Rivas,22.0,Sales,54600.0,1.0,Yes
Ellen Wright,43.0,Marketing,75400.0,13.0,
Michael Bradshaw,29.0,Marketing,53600.0,4.0,Yes
Meghan Rush,27.0,Engineering,71500.0,5.0,Yes
Joe Page,43.0,Sales,82300.0,15.0,Yes
Sherry Tapia,35.0,Engineering,84500.0,6.0,Yes
Tyler Stout,41.0,Finance,80200.0,12.0,Yes
Michael Lucas,49.0,Customer Support,78100.0,19.0,Yes
Nicole Richards,30.0,Sales,63000.0,6.0,No
Jake Shaw,45.0,Sales,84600.0,19.0,Yes
Andrew Johnson,32.0,Finance,69100.0,5.0,No
Lisa Haley,54.0,Marketing,84400.0,12.0,Yes
Zachary Robinson,37.0,Operations,58100.0,11.0,Yes
Steve Sanchez,36.0,Marketing,62900.0,5.0,Yes
Danielle Mcdaniel,48.0,HR,64500.0,,Yes
Ronald Clark,32.0,IT,88400.0,,
Miss Kimberly Holloway,21.0,Engineering,75600.0,0.0,No
Michael Taylor,32.0,HR,45500.0,4.0,Yes
Tony Rodriguez,39.0,Marketing,84800.0,15.0,Yes
Robert Jackson,30.0,Finance,69200.0,4.0,No
Wanda Ingram,26.0,Sales,,4.0,Yes
Alicia Wagner,35.0,,79800.0,5.0,Yes
Charles Morales,,HR,68400.0,,Yes
Kelly Howard,25.0,Sales,,2.0,No
Daniel Brewer,26.0,HR,59000.0,2.0,No
Jamie Lindsey,45.0,Engineering,97800.0,14.0,Yes
Lisa Salazar,34.0,IT,85800.0,9.0,Yes
Robert Haynes,37.0,Operations,69400.0,13.0,Yes
Larry Wilson,54.0,,107300.0,26.0,Yes
Jacob Williams,34.0,IT,89200.0,8.0,Yes
David Walters,27.0,IT,67500.0,5.0,Yes
Jaclyn Crane,33.0,Customer Support,46400.0,5.0,Yes
Rachel Taylor,21.0,Marketing,47700.0,0.0,No
Aimee Fisher,36.0,Customer Support,56100.0,8.0,Yes
Brandon Acosta,33.0,HR,66200.0,10.0,Yes
Matthew Wells,33.0,Engineering,67500.0,4.0,Yes
Roberto Smith,27.0,Marketing,57500.0,4.0,Yes
Melissa Gates,24.0,HR,54900.0,1.0,No
Timothy Andrews,34.0,Finance,64700.0,4.0,No
Jonathon Conley,40.0,Engineering,85700.0,12.0,Yes
Robert Simpson,60.0,Sales,,27.0,Yes
Matthew Hunt,38.0,HR,68900.0,13.0,Yes
Kara Hernandez,29.0,Finance,64100.0,7.0,
Brett Thomas,28.0,Finance,64900.0,4.0,No
John Cook,21.0,IT,61500.0,0.0,No
Shelia Wallace,24.0,Finance,61300.0,2.0,No
Matthew Roberts,37.0,Marketing,58400.0,6.0,Yes
Beverly Nguyen,42.0,Finance,79900.0,11.0,Yes
Daniel Lopez,28.0,Engineering,76200.0,2.0,No
Tyler Baker,34.0,HR,51000.0,6.0,Yes
Kaitlyn Leblanc,40.0,IT,85200.0,10.0,
Amber Lee,21.0,IT,69600.0,0.0,
Jennifer Ramirez,35.0,Finance,69500.0,9.0,Yes
Philip Powell,34.0,Sales,71800.0,7.0,Yes
Debbie Sherman,38.0,Sales,64700.0,7.0,Yes
Chad Kim,29.0,HR,66100.0,6.0,Yes
Henry Gray,37.0,Operations,65500.0,10.0,Yes
Mrs. Dawn Hawkins,39.0,Operations,80700.0,14.0,Yes
Gary Turner,41.0,Operations,63100.0,7.0,Yes
Christopher Jensen,27.0,IT,68500.0,3.0,No
Ryan Willis,30.0,Engineering,73600.0,3.0,No
Taylor Flores,60.0,Operations,117200.0,32.0,Yes
Andrew Jacobs,21.0,IT,64200.0,0.0,No
Stephanie Salinas,50.0,Customer Support,86700.0,20.0,Yes
Mary Peterson,36.0,HR,,11.0,Yes
Robin Smith,25.0,Marketing,49800.0,3.0,No
Chloe Ellis,27.0,Engineering,94200.0,3.0,No
Rachel Rollins,37.0,IT,76400.0,9.0,Yes
Kendra Sullivan,31.0,Finance,68600.0,8.0,Yes
Jennifer Flores,45.0,IT,107800.0,17.0,Yes
Kristen Taylor,31.0,Operations,52200.0,4.0,No
Samantha Morrow,46.0,Operations,57200.0,8.0,Yes
Ricky Hall,23.0,Finance,54300.0,1.0,No
Thomas Hughes DDS,30.0,IT,72400.0,3.0,No
Darren Morse,44.0,Operations,77700.0,16.0,Yes
Raymond Porter,40.0,Sales,72600.0,10.0,Yes
David Hernandez,26.0,IT,74600.0,3.0,No
Brent Reed,35.0,Operations,48600.0,6.0,No
Joshua Henderson,29.0,Sales,69600.0,5.0,No
Jessica Holmes,38.0,Operations,72900.0,9.0,Yes
Stacy Macias,23.0,Operations,46700.0,2.0,No
Angel Butler,28.0,IT,68400.0,3.0,No
Clarence Wood,32.0,Operations,69000.0,8.0,Yes
Brittney Hernandez,22.0,IT,56500.0,1.0,Yes
Robert West,21.0,Finance,57600.0,0.0,No
Ryan Munoz,40.0,Sales,61600.0,13.0,Yes
Breanna Flores,33.0,Operations,70600.0,9.0,Yes
Cynthia Bates,52.0,Engineering,83400.0,11.0,Yes
Tammy Werner,31.0,Operations,,,No
Julian Obrien,35.0,Engineering,77600.0,8.0,Yes
Lisa Robinson,52.0,Customer Support,91500.0,24.0,Yes
Brian Mendoza,33.0,IT,69300.0,7.0,Yes
Rachel Brown,41.0,Finance,77000.0,7.0,Yes
Brooke Allison,36.0,Engineering,86000.0,9.0,Yes
Joseph Durham,35.0,HR,69400.0,11.0,Yes
John Peterson,37.0,IT,89200.0,12.0,Yes
Julia Reeves,31.0,IT,76300.0,8.0,Yes
Jasmine Hall,21.0,Operations,47900.0,0.0,No
Randall Johnson,24.0,IT,64800.0,2.0,No
Stephen Parks,37.0,Customer Support,59900.0,9.0,Yes
Emily Bennett,41.0,Sales,75800.0,14.0,Yes
Jeffrey Hart DDS,35.0,Customer Support,60800.0,10.0,Yes
Joseph Myers,44.0,Finance,84900.0,12.0,Yes
Johnny Khan,40.0,Sales,74000.0,13.0,Yes
Richard Murray,21.0,Operations,53500.0,0.0,No
Richard Bond,40.0,Finance,81700.0,16.0,Yes
Janet Ryan,21.0,Engineering,68600.0,0.0,No
Dana Dodson,27.0,,56100.0,3.0,Yes
Cody Reyes III,28.0,Operations,54500.0,2.0,No
Darlene Miller,28.0,Finance,81000.0,5.0,No
Michael Baker,34.0,HR,59200.0,6.0,Yes
Kenneth Huff,51.0,HR,75700.0,14.0,Yes
Donna Frye,21.0,Sales,,0.0,No
Heidi Richardson,52.0,Customer Support,70300.0,17.0,Yes
Robert Bauer,28.0,Operations,49200.0,5.0,Yes
Arthur Reed,41.0,Marketing,,8.0,Yes
Jonathan Brooks,41.0,IT,96200.0,16.0,Yes
Bridget Edwards DDS,35.0,Operations,71400.0,8.0,Yes
Maria Malone,47.0,Engineering,,11.0,Yes
Gloria Dunlap,35.0,IT,84300.0,9.0,Yes
Katherine Brooks,41.0,Engineering,76900.0,,Yes
Teresa Allen,25.0,HR,47000.0,1.0,No
David Fitzpatrick,44.0,IT,93400.0,18.0,Yes
Peter Haynes,39.0,Customer Support,70100.0,13.0,Yes
Laurie Fuller,,Sales,53400.0,3.0,No
Sean Moore,25.0,Customer Support,47600.0,3.0,No
Ashley Barrera,24.0,,78500.0,2.0,No
Jack Jacobs,50.0,Sales,83800.0,22.0,Yes
Lori Thompson,51.0,,,21.0,Yes
Michele George,36.0,Sales,74500.0,8.0,Yes
James Brooks,33.0,Engineering,69500.0,8.0,Yes
Terry Brown,,Engineering,77900.0,4.0,Yes
Joshua Clark,28.0,Marketing,72800.0,5.0,No
Laura Jones,31.0,Engineering,91100.0,6.0,Yes
Angela Patel,,Finance,56500.0,5.0,Yes
Dr. George Hernandez,42.0,Engineering,86400.0,9.0,Yes
Blake Owens,31.0,Finance,75000.0,7.0,Yes
Brandy Lopez,42.0,HR,70200.0,9.0,Yes
Gary Palmer,42.0,Operations,55200.0,8.0,Yes
Mr. Anthony Mcconnell PhD,38.0,Sales,67100.0,10.0,Yes
John Lee,30.0,Sales,58600.0,7.0,No
Regina Davis,31.0,IT,89900.0,8.0,Yes
Timothy Gordon,55.0,IT,,16.0,Yes
Dawn Parker,40.0,Engineering,96100.0,10.0,Yes
Lisa Bryant,53.0,IT,79200.0,10.0,Yes
Morgan Barrett,45.0,Sales,56300.0,10.0,No
Michelle Ramirez,38.0,Sales,77300.0,11.0,Yes
Sarah Moore,42.0,Engineering,95500.0,10.0,Yes
Heather Brown,49.0,IT,81600.0,9.0,Yes
Jeffrey Glenn,23.0,IT,70500.0,1.0,No
Elizabeth Mccoy,42.0,Operations,57700.0,7.0,Yes
Kaitlyn Brown,38.0,IT,78200.0,5.0,No
Travis Price,51.0,Operations,100000.0,23.0,Yes
James Morris,24.0,IT,51700.0,1.0,No
Michael Smith,31.0,Sales,58700.0,5.0,No
Melissa Patel MD,27.0,HR,53000.0,5.0,No
Lisa Kaiser,21.0,IT,70000.0,0.0,No
Alexandra Foster,36.0,IT,68000.0,5.0,Yes
Carlos Kirk,26.0,Engineering,80800.0,3.0,No
Ryan Skinner,24.0,IT,73100.0,2.0,No
Alexander Drake,36.0,Engineering,93900.0,10.0,Yes
Paula Brown,25.0,Sales,55700.0,3.0,Yes
Joseph Perez,42.0,Engineering,86700.0,9.0,Yes
Dawn Jordan,47.0,Sales,85000.0,17.0,Yes
Brittany Snyder,35.0,Sales,68300.0,8.0,Yes
Terry Waller,21.0,Operations,41100.0,0.0,No
Anne Martin,27.0,Customer Support,38900.0,3.0,No
Philip Bowen,38.0,HR,60200.0,7.0,Yes
Benjamin Smith,45.0,Sales,65700.0,9.0,Yes
Philip Cole,36.0,Operations,67900.0,12.0,Yes
Steven Griffith,48.0,Engineering,86900.0,9.0,Yes
David Williams,53.0,Customer Support,60900.0,10.0,Yes
Breanna Ayala,39.0,IT,90300.0,12.0,Yes
Reginald Knapp,38.0,Customer Support,68300.0,14.0,Yes
Nancy Merritt,44.0,Sales,81900.0,16.0,Yes
Jessica Gibson,40.0,Marketing,,9.0,Yes
Justin Smith,25.0,HR,45900.0,1.0,No
Alyssa Weber,25.0,Finance,78400.0,2.0,No
Brenda Hall,38.0,Sales,58200.0,13.0,Yes
Robin Brown,40.0,Engineering,92300.0,11.0,Yes
Heidi Moran,,IT,63800.0,0.0,No
Joseph Hawkins,36.0,HR,59800.0,8.0,Yes
Barbara Flores,46.0,Operations,68600.0,9.0,Yes
Danielle Griffin,27.0,Sales,53800.0,4.0,No
Sara Lawson,32.0,Engineering,84500.0,8.0,Yes
Steven Boyd,57.0,Sales,66300.0,11.0,Yes
Philip Jackson,37.0,Customer Support,59400.0,9.0,Yes
Crystal Collins,22.0,Engineering,79900.0,1.0,No
Steven Howard,38.0,IT,94900.0,14.0,Yes
Amber Johnson,36.0,IT,74500.0,7.0,Yes
Kathy Bailey,24.0,Customer Support,46200.0,2.0,No
Ms. Kayla Williams,31.0,Operations,63400.0,6.0,Yes
Rhonda Willis,,HR,63900.0,8.0,Yes
Bryan Moore,31.0,IT,72600.0,4.0,Yes
Cathy Robinson,40.0,Engineering,84500.0,14.0,Yes
Timothy White,35.0,Customer Support,52200.0,9.0,No
Linda Johnson,31.0,Operations,54100.0,4.0,Yes
Keith Solis,22.0,IT,68600.0,,No
Ashley Norman,46.0,Marketing,74900.0,13.0,Yes
Dale Beck,23.0,Customer Support,32400.0,1.0,No
Brianna Martinez,30.0,Sales,54900.0,6.0,Yes
Ronnie Medina,43.0,Engineering,86300.0,9.0,Yes
Jared Chan,31.0,Customer Support,51000.0,5.0,Yes
Tara Jones,27.0,HR,52900.0,5.0,No
Justin Saunders,26.0,Customer Support,55900.0,3.0,Yes
Brian Vaughn,21.0,HR,45300.0,0.0,No
Sean Kaiser,43.0,IT,77400.0,8.0,Yes
Ryan Salazar,25.0,Sales,54300.0,1.0,No
Erin Brown,29.0,Sales,58500.0,5.0,Yes
Jason Blackwell,26.0,Engineering,64600.0,2.0,No
Alyssa Day,52.0,IT,105300.0,22.0,Yes
Arthur Golden,41.0,IT,107500.0,14.0,
Shane Henderson,45.0,Engineering,105700.0,17.0,Yes
Jane Edwards,21.0,HR,,0.0,No
Christopher Rodriguez,31.0,Operations,62700.0,8.0,Yes
Alison Short,44.0,Sales,,17.0,Yes
Maria Gonzalez,46.0,Marketing,85900.0,14.0,Yes
Jay Gallegos,33.0,IT,,6.0,No
Deborah Gregory,33.0,Marketing,65600.0,7.0,Yes
Amanda Hess,34.0,IT,77200.0,5.0,Yes
Angela Jackson,49.0,Engineering,115500.0,23.0,Yes
Joshua Russell,,Sales,,8.0,No
Phillip Kent,33.0,Engineering,97000.0,9.0,Yes
Jessica Smith,34.0,IT,84200.0,11.0,Yes
Raymond Barber,42.0,Sales,71000.0,12.0,Yes
Samantha Hale,42.0,Engineering,90500.0,11.0,Yes
Mary Houston,21.0,IT,76300.0,0.0,No
Jamie Galloway,23.0,Marketing,60600.0,1.0,No
Allison Cowan,21.0,IT,69700.0,0.0,No
Megan Allison,39.0,Operations,72200.0,12.0,Yes
Lauren Coleman,,Finance,68000.0,5.0,No
Allen White,33.0,Sales,55200.0,5.0,No
Patrick Gibson,37.0,Customer Support,44300.0,8.0,Yes
Franklin Harris,27.0,Operations,51200.0,2.0,Yes
Cynthia Shaw,25.0,Sales,54000.0,2.0,No
Mrs. Tonya Byrd,38.0,Engineering,88800.0,6.0,No
Michael Gonzalez,36.0,IT,81000.0,9.0,
Katherine Dunn,34.0,HR,60400.0,8.0,Yes
Heather Smith,21.0,Finance,55300.0,0.0,No
Sandra Alvarez,33.0,Sales,64300.0,10.0,Yes
Henry Huerta,41.0,Operations,74500.0,10.0,Yes
Mr. Edward Terry,24.0,HR,52100.0,2.0,No
Molly Watts,46.0,IT,75900.0,8.0,No
Edward Tucker,34.0,IT,83200.0,6.0,Yes
Cody Conley,30.0,Marketing,67500.0,5.0,No
Jeffery Long,21.0,Engineering,62600.0,0.0,No
Janet Larson,40.0,Finance,75500.0,10.0,Yes
Melissa Abbott,30.0,Finance,56400.0,3.0,No
Dawn Summers,33.0,Customer Support,55500.0,7.0,Yes
Daniel Campbell,22.0,Engineering,73100.0,0.0,No
Austin Baker,38.0,Customer Support,50800.0,7.0,No
Micheal Pugh,40.0,Sales,69000.0,15.0,Yes
Julie Herrera,33.0,HR,43100.0,5.0,No
Jessica Doyle,46.0,Sales,58800.0,9.0,Yes
Kevin Guerra,39.0,IT,81900.0,9.0,Yes
Logan Massey,40.0,Finance,90100.0,15.0,Yes
Randy Friedman,38.0,Customer Support,55900.0,8.0,Yes
Richard Rodriguez,22.0,Finance,62800.0,1.0,No
Kathryn Fletcher,31.0,Engineering,75400.0,4.0,Yes
James Gilbert,43.0,Sales,58100.0,9.0,No
Jeffrey Mendez,33.0,IT,87600.0,8.0,Yes
Michael Smith,21.0,Finance,52500.0,0.0,No
Edward Guzman,41.0,Sales,62100.0,8.0,Yes
James Martin,21.0,Operations,51700.0,0.0,No
Shannon Cain,26.0,IT,73600.0,3.0,No
Kenneth Knight,39.0,IT,93600.0,12.0,Yes
